"logFC" "logCPM" "F" "PValue" "FDR"
"ANXA2" 3.90909160095616 6.51873383220469 107.337839427358 2.31122685229975e-06 0.000275596521551164
"LINC02489" 4.55896043580715 -1.55166312650953 52.3031529526049 2.32305412324533e-06 0.000275596521551164
"NOVA2" -3.81615851733466 4.31137512647473 107.16629145351 2.33220175271214e-06 0.000275596521551164
"AMER2" -12.7345406044273 5.31040454191847 80.6087072632833 2.36950821364025e-06 0.000277002858789437
"REG3G" 17.1737191991176 7.62953511389033 90.9377303193136 2.37519902390055e-06 0.000277002858789437
"GABRG3" -7.8177143917074 0.486350485381443 58.9618590230805 2.38035172002264e-06 0.000277002858789437
"POU3F2" -9.71344468992804 2.33619248505433 64.2064160102619 2.39388521012258e-06 0.000277170800212425
"DNER" -7.2993781782986 5.31233084821944 106.505491406465 2.46166968474522e-06 0.000283586821722533
"RPL10P9" 3.21026586080114 8.46830892570351 105.416667240881 2.49490538768576e-06 0.00028597853006348
"C1QTNF4" -7.28025472438022 3.90804232972416 104.873180160389 2.51526467831242e-06 0.000286877824628419
"SYNDIG1" -6.46149951561325 3.4960374573842 106.482515267931 2.53123967015602e-06 0.000287270640783796
"LOC105375587" 12.9902545992632 3.45323576497079 138.282517172685 2.54625010748436e-06 0.000287550658690044
"HS3ST4" -9.26976797590024 3.15506682873335 66.3729492051642 2.58490037464565e-06 0.000290484515140939
"GABRB2" -9.4147023937936 4.94456008130652 96.0177930427689 2.65456635090225e-06 0.000294292155644765
"GABRA4" -9.05442660297976 2.48702723185744 64.4318184193793 2.65635100569796e-06 0.000294292155644765
"EPO" 6.37187315158741 2.15407739582663 62.7378305057696 2.65729449153616e-06 0.000294292155644765
"GPRIN1" -5.16197512697086 3.76876981315866 104.062147728297 2.69438523653861e-06 0.000295368251354456
"PABPC4" 3.61663214749937 7.8760770095415 103.446593965039 2.70294031506867e-06 0.000295368251354456
"SRGAP3" -4.1572535847156 5.25466357268591 103.453209310587 2.70566337118585e-06 0.000295368251354456
"STMN2" -7.10502295473892 7.17702519925004 103.241960445591 2.73454671779992e-06 0.000297106556898404
"FBLIM1" 4.92107626888559 5.66923606577303 102.826151665824 2.78349520719679e-06 0.000300998243514087
"CTRB2" 19.0408888058351 13.4720949200261 82.9620559814661 2.81300962602454e-06 0.000301439317389104
"WDR11-AS1" -4.60691631461347 -0.549290740498517 66.009108309633 2.81387192677288e-06 0.000301439317389104
"ISL1" 6.39752990525608 -0.101288212541957 63.6222791626691 2.84202028231772e-06 0.000303038674288994
"MAPT-AS1" -8.19240013856645 -1.08807202813915 100.842408910692 2.87991911501531e-06 0.000303561571850798
"ARHGEF9" -3.03700170656195 6.00575448264764 101.802776492556 2.89290642124613e-06 0.000303561571850798
"SRPRA" 3.11097266521053 7.70853818649071 101.748821175149 2.89939153327615e-06 0.000303561571850798
"DLK1" 9.00183037524144 2.92166419842348 71.9886892417625 2.90565357217771e-06 0.000303561571850798
"ST8SIA5" -7.29791976176171 2.56252325902104 89.4615154960708 2.92083865821043e-06 0.000303561571850798
"LINC01114" -10.003063637396 0.534471590010152 78.249057942523 2.92637327716581e-06 0.000303561571850798
"LOC105370126" 6.68582637586882 -0.893212573891307 54.1002399936775 2.96240857087878e-06 0.000304706959096333
"CELF2" -3.51111520233101 6.20880498216774 101.22797201671 2.96399790091525e-06 0.000304706959096333
"LOC112267992" 7.04275216096428 0.204605300299422 50.2545505177275 3.09359735145579e-06 0.000316610353938054
"SHISA6" -5.90939659367644 4.26625103863957 100.603741517906 3.11798187877269e-06 0.000317205618757879
"LRRC4" -6.2783109990287 3.84520663633896 100.771916109454 3.13405630893035e-06 0.000317205618757879
"LINC00461" -8.78082397609031 3.93228337336418 85.4017665723749 3.14244259225185e-06 0.000317205618757879
"EEF1AKMT3" 3.29397065487113 3.84684123572295 99.7760476986935 3.15476035231391e-06 0.000317205618757879
"SLC8A3" -4.57706727604947 2.05211228896448 100.757213701625 3.18249681405536e-06 0.000318597115555542
"RPS15AP19" 2.70542605444507 4.33550630117415 99.340036328206 3.21090353956749e-06 0.000318879827255302
"FAM24B-CUZD1" 11.4414863750031 10.8264185639098 99.8244486545838 3.21314024409922e-06 0.000318879827255302
"REG1B" 20.4943285150031 12.8033767296336 74.3894004544054 3.2283284829212e-06 0.00031900616582314
"BCAN" -10.2854161301738 6.15613483869505 93.7549427918239 3.39530424903949e-06 0.000329220191258305
