"logFC" "logCPM" "F" "PValue" "FDR"
"IAPP" -10.2781860275021 0.771682591493101 69.3854407165173 5.58029025636657e-06 0.00138960496640912
"EPHA8" -6.44110459841837 0.819207993022698 58.9663025958986 5.58770452901711e-06 0.00138960496640912
"TTR" -8.78098158463998 5.61328748444674 86.6574276331768 5.62225627774e-06 0.00138960496640912
"LINC01394" 5.05210023417811 -1.19772100787186 45.3607631637721 5.64820970524241e-06 0.00138960496640912
"LOC100420587" -6.17250850452509 -0.281891062951779 49.3249641476314 5.67356607274521e-06 0.00138960496640912
"LOC102723517" -7.8182991999061 0.0673071359572147 48.2453354602461 5.68380334838224e-06 0.00138960496640912
"BRSK2" -4.68206631612609 6.65973545400501 86.673958158556 5.69783497677021e-06 0.00138960496640912
"CBSL" -4.60486412972411 5.60509195299952 86.2370121737539 5.8206170993794e-06 0.00140044083909082
"MROH7" 3.4988465000522 4.44828208813264 86.1076801779922 5.86444146358642e-06 0.00140044083909082
"MAB21L2" 12.0351583153264 6.35448539238011 62.2419712002582 6.02685572209223e-06 0.00142438832400994
"FAM174B" -3.64878070374328 5.35950377326282 84.7742245272721 6.25069660582435e-06 0.00146221652743391
"WDFY2" -2.44826668288294 5.80275088852714 83.858024787961 6.53804128751181e-06 0.00151398582339604
"GNMT" -9.71700197198234 6.83769434716786 83.9650965278738 6.7433969421806e-06 0.0015459237489949
"LOC285095" -8.87781804034505 2.52367963404001 56.8299056383893 6.90032177114201e-06 0.00155606408912233
"TACSTD2" -5.9288312099029 5.40117352924425 83.108062428581 6.923382206782e-06 0.00155606408912233
"LOC158434" -8.46297364232252 1.03187807849083 62.7697489332524 7.01514836987491e-06 0.00156138132407167
"KCNJ16" -8.34400317444896 4.60139607155922 81.5114776672739 7.2500857959114e-06 0.00159080444950494
"MIR217HG" -9.53968046865771 1.7397418359391 83.9051926142645 7.33999466290064e-06 0.00159080444950494
"HOXA11" 8.85437822694982 3.17088582674122 79.4986150712156 7.35551893773275e-06 0.00159080444950494
